Id,NameEn,NameAr
1,Wales,ويلز
2,Netherlands,"هولندا
"
3,Honduras,"هندوراس
"
4,Haiti,"هايتي
"
5,New Zeland,"نيوزيلندا
"
6,Nicaragua,"نيكاراغوا
"
7,Nigeria,"نيجيريا
"
8,Nepal,"نيبال
"
9,Namibia,"ناميبيا
"
10,Mozambique,"موزمبيق
"
11,Mongolia,"منغوليا
"
12,Egypt,مصر
13,Madagascar,"مدغشقر
"
14,Malaysia,"ماليزيا
"
15,Mali,"مالي
"
16,Malta,"مالطا
"
17,Lithuania,"ليتوانيا
"
18,Libya,"ليبيا
"
19,Lebanon,"لبنان
"
20,Laos,"لاوس
"
21,Latvia,"لاتفيا
"
22,Kenya,"كينيا
"
23,Colombia,كولومبيا
24,Costa Rica,كوستاريكا
25,South Korea,كوريا الجنوبية
26,Cuba,كوبا
27,Canada,"كندا
"
28,Cambodia,كمبوديا
29,Croatia,"كرواتيا
"
30,Fiji,"فيجي
"
31,Vietnam,فيتنام
32,Finland,"فنلندا
"
33,Venezuela,فنزويلا
34,France,"فرنسا
"
35,Guatemala,"غواتيمالا
"
36,Ghana,"غانا
"
37,Tajikistan,طاجيكستان
38,Serbia,صربيا
39,Switzerland,سويسرا
40,Syria,سوريا
41,Singapore,سنغافورة
42,Slovakia,سلوفاكيا
43,Sri Lanka,سريلانكا
44,Zimbabwe,زيمبابوي
45,Zambia,زامبيا
46,Romania,رومانيا
47,Russia,روسيا
48,South Africa,جنوب أفريقيا
49,Dominican Republic,"جمهورية الدومينيكان
"
50,Czech Republic,"جمهورية التشيك
"
51,Jamaica,"جامايكا
"
52,Tonga,تونغا
53,Tunisia,تونس
54,Chile,"تشيلي
"
55,Türkiye,تركيا
56,Taiwan,تايوان
57,Thailand,تايلاند
58,Peru,بيرو
59,Bolivia,بوليفيا
60,Poland,بولندا
61,Botswana,"بوتسوانا
"
62,Panama,بنما
63,Bangladesh,بنغلاديش
64,Bulgaria,بلغاريا
65,Belgium,بلجيكا
66,Pakistan,"باكستان
"
67,Paraguay,باراغواي
68,Iceland,"آيسلندا
"
69,Ireland,"أيرلندا
"
70,Ukraine,أوكرانيا
71,Uruguay,أوروغواي
72,Germany,"ألمانيا
"
73,Albania,ألبانيا
74,Afghanistan,أفغانستان
75,Australia,أستراليا
76,Italy,"إيطاليا
"
77,Iran,"إيران
"
78,Indonesia,"إندونيسيا
"
79,England,"إنجلترا
"
80,Israel,"إسرائيل
"
81,Estonia,"إستونيا
"
82,Spain,إسبانيا
83,Ethiopia,"إثيوبيا
"
84,Greece,"اليونان
"
85,Japan,"اليابان
"
86,United States,الولايات المتحدة
87,India,"الهند
"
88,Austria,النمسا
89,Norway,"النرويج
"
90,United Kingdom,المملكة المتحدة
91,Saudi Arabia,المملكة العربية السعودية
92,Mexico,"المكسيك
"
93,Morocco,"المغرب
"
94,Hungary,"المجر
"
95,Kuwait,"الكويت
"
96,Cameroon,الكاميرون
97,Philippines,الفلبين
98,Iraq,"العراق
"
99,China,"الصين
"
100,Sweden,السويد
101,Sudan,السودان
102,Senegal,السنغال
103,El Salvador,السلفادور
104,Denmark,"الدنمارك
"
105,Algeria,الجزائر
106,Portugal,البرتغال
107,Brazil,البرازيل
108,Jordan,"الأردن
"
109,Argentina,الأرجنتين
110,United Arab Emirates,----
111,Ecuador,"الإكوادور
"
112,Scotland,اسكتلندا
